freq_Hz,return_loss_dB_ref10ohm
3.000000000000000000e+08,7.441581190993678874e+00
3.010033440000000000e+08,7.485056421661415271e+00
3.020066890000000000e+08,7.529041038927149820e+00
3.030100330000000000e+08,7.573543028205404148e+00
3.040133780000000000e+08,7.618570584793039835e+00
3.050167220000000000e+08,7.664132102277385172e+00
3.060200670000000000e+08,7.710236107301123631e+00
3.070234110000000000e+08,7.756891373855113514e+00
3.080267560000000000e+08,7.804106849668359658e+00
3.090301000000000000e+08,7.851891669597645951e+00
3.100334450000000000e+08,7.900255218217427711e+00
3.110367890000000000e+08,7.949207081229103800e+00
3.120401340000000000e+08,7.998757063274918089e+00
3.130434780000000000e+08,8.048915214922965689e+00
3.140468230000000000e+08,8.099691809911529816e+00
3.150501670000000000e+08,8.151097395034879511e+00
3.160535120000000000e+08,8.203142717812886175e+00
3.170568560000000000e+08,8.255838854260666437e+00
3.180602010000000000e+08,8.309197125076188684e+00
3.190635450000000000e+08,8.363229133665932125e+00
3.200668900000000000e+08,8.417946769010880459e+00
3.210702340000000000e+08,8.473362227597117879e+00
3.220735790000000000e+08,8.529488012218667592e+00
3.230769230000000000e+08,8.586336948942070890e+00
3.240802680000000000e+08,8.643922223007107775e+00
3.250836120000000000e+08,8.702257325316434589e+00
3.260869570000000000e+08,8.761356130548298538e+00
3.270903010000000000e+08,8.821232867330067506e+00
3.280936450000000000e+08,8.881902164035050617e+00
3.290969900000000000e+08,8.943379057565554291e+00
3.301003340000000000e+08,9.005678962295316836e+00
3.311036790000000000e+08,9.068817737681243329e+00
3.321070230000000000e+08,9.132811711590933967e+00
3.331103680000000000e+08,9.197677652737080933e+00
3.341137120000000000e+08,9.263432814460363929e+00
3.351170570000000000e+08,9.330094946322878613e+00
3.361204010000000000e+08,9.397682330027709696e+00
3.371237460000000000e+08,9.466213770776596093e+00
3.381270900000000000e+08,9.535708655806319101e+00
3.391304350000000000e+08,9.606186911583060706e+00
3.401337790000000000e+08,9.677669139169527313e+00
3.411371240000000000e+08,9.750176552435776856e+00
3.421404680000000000e+08,9.823731002798925971e+00
3.431438130000000000e+08,9.898355046333811913e+00
3.441471570000000000e+08,9.974071950647147133e+00
3.451505020000000000e+08,1.005090577633693272e+01
3.461538460000000000e+08,1.012888132873375824e+01
3.471571910000000000e+08,1.020802425084643694e+01
3.481605350000000000e+08,1.028836100898990935e+01
3.491638800000000000e+08,1.036991901101242064e+01
3.501672240000000000e+08,1.045272660642578444e+01
3.511705690000000000e+08,1.053681311213192728e+01
3.521739130000000000e+08,1.062220887735536579e+01
3.531772580000000000e+08,1.070894528559611203e+01
3.541806020000000000e+08,1.079705494159634860e+01
3.551839460000000000e+08,1.088657159559038590e+01
3.561872910000000000e+08,1.097753022900602815e+01
3.571906350000000000e+08,1.106996716979578821e+01
3.581939800000000000e+08,1.116392011093821068e+01
3.591973240000000000e+08,1.125942823386694336e+01
3.602006690000000000e+08,1.135653215739238320e+01
3.612040130000000000e+08,1.145527419241676625e+01
3.622073580000000000e+08,1.155569833256748602e+01
3.632107020000000000e+08,1.165785043218669337e+01
3.642140470000000000e+08,1.176177808192419505e+01
3.652173910000000000e+08,1.186753097207495244e+01
3.662207360000000000e+08,1.197516098374702587e+01
3.672240800000000000e+08,1.208472209686316745e+01
3.682274250000000000e+08,1.219627077745662369e+01
3.692307690000000000e+08,1.230986589914621376e+01
3.702341140000000000e+08,1.242556918074746442e+01
3.712374580000000000e+08,1.254344501421169333e+01
3.722408030000000000e+08,1.266356087260338725e+01
3.732441470000000000e+08,1.278598750381076243e+01
3.742474920000000000e+08,1.291079898480974109e+01
